Drug,Class_ID,Classification
omoconazole,G01AF16,Gynecological antiinfectives and antiseptics
ALL OTHER THERAPEUTIC PRODUCTS,V03A,All other therapeutic products
midazolam,N05CD08,Psycholeptics
demoxytocin,H01BB01,Pituitary and hypothalamic hormones and analogues
povidone-iodine,D11AC06,Other dermatological preparations
polihexanide,D08AC05,Antiseptics and disinfectants
daclizumab,L04AC01,Immunosuppressants
oxyquinoline,G01AC30,Gynecological antiinfectives and antiseptics
sertaconazole,G01AF19,Gynecological antiinfectives and antiseptics
toloxatone,N06AG03,Psychoanaleptics
mandelic acid,B05CA06,Blood substitutes and perfusion solutions
riboflavin,S01XA26,Ophthalmologicals
tretinoin,D10AD01,Anti-acne preparations
calcium levofolinate,V03AF04,All other therapeutic products
"zoster, purified antigen",J07BK03,Vaccines
ibuprofen,C01EB16,Cardiac therapy
"clemastine, combinations",R06AA54,Antihistamines for systemic use
"alendronic acid and alfacalcidol, sequential",M05BB06,Drugs for treatment of bone diseases
"Phenylalkylamine derivatives, selective calcium channel blockers with direct cardiac effects",C08DA,Calcium channel blockers
lorcaserin,A08AA11,Antiobesity preparations
Actinomycines,L01DA,Antineoplastic agents
cabergoline,G02CB03,Other gynecologicals
isosorbide dinitrate,C05AE02,Vasoprotectives
tioxolone,D10AB03,Anti-acne preparations
sulconazole,D01AC09,Antifungals for dermatological use
moxaverine,A03AD30,Drugs for functional gastrointestinal disorders
oxaflozane,N06AX10,Psychoanaleptics
"HMG CoA reductase inhibitors, other combinations",C10BX,Lipid modifying agents
Ultrasound contrast media,V08DA,Contrast media
probenecid,M04AB01,Antigout preparations
acamprosate,N07BB03,Other nervous system drugs
venetoclax,L01XX52,Antineoplastic agents
chlorquinaldol,R02AA11,Throat preparations
"hydroxyethylpromethazine, combinations",R06AD55,Antihistamines for systemic use
safinamide,N04BD03,Anti-parkinson drugs
gestodene and ethinylestradiol,G03AB06,Sex hormones and modulators of the genital system
raxibacumab,J06BB18,Immune sera and immunoglobulins
"Watersoluble, nephrotropic, low osmolar X-ray contrast media",V08AB,Contrast media
dolutegravir,J05AX12,Antivirals for systemic use
clofarabine,L01BB06,Antineoplastic agents
propranolol,C07AA05,Beta blocking agents
fenoterol,R03AC04,Drugs for obstructive airway diseases
ivacaftor and tezacaftor,R07AX31,Other respiratory system products
rabies immunoglobulin,J06BB05,Immune sera and immunoglobulins
"phenylephrine, combinations",R01BA53,Nasal preparations
neomycin,B05CA09,Blood substitutes and perfusion solutions
methylergometrine and oxytocin,G02AC01,Other gynecologicals
brinase,B01AD06,Antithrombotic agents
atorvastatin and acetylsalicylic acid,C10BX08,Lipid modifying agents
Multivitamins with minerals,A11AA,Vitamins
Belladonna and derivatives in combination with psycholeptics,A03CB,Drugs for functional gastrointestinal disorders
"chlorhexidine, combinations",D08AC52,Antiseptics and disinfectants
tolfenamic acid,M01AG02,Anti-inflammatory and antirheumatic products
ranitidine bismuth citrate,A02BA07,Drugs for acid related disorders
resorcinol,S01AX06,Ophthalmologicals
clemastine,R06AA04,Antihistamines for systemic use
"Beta blocking agents, non-selective",C07AA,Beta blocking agents
"phenprobamate, combinations excl. psycholeptics",M03BA51,Muscle relaxants
"cimetidine, combinations",A02BA51,Drugs for acid related disorders
pizotifen,N02CX01,Analgesics
"mifepristone, combinations",G03XB51,Sex hormones and modulators of the genital system
sonidegib,L01XX48,Antineoplastic agents
phenylephrine and ketorolac,S01FB51,Ophthalmologicals
loxapine,N05AH01,Psycholeptics
"montelukast, combinations",R03DC53,Drugs for obstructive airway diseases
Indium-111 tumour detection radiopharmaceuticals,V09IB,Diagnostic radiopharmaceuticals
velaglucerase alfa,A16AB10,Other alimentary tract and metabolism products
"bismuth subcitrate, tetracycline and metronidazole",A02BD08,Drugs for acid related disorders
penciclovir,J05AB13,Antivirals for systemic use
hexobarbital,N01AF02,Anesthetics
chlorhexidine,S01AX09,Ophthalmologicals
"Corticosteroids, weak, combinations with antiseptics",D07BA,Corticosteroids
Bile acids and derivatives for bile therapy,A05AA,Bile and liver therapy
asfotase alfa,A16AB13,Other alimentary tract and metabolism products
norepinephrine,C01CA03,Cardiac therapy
digoxin,C01AA05,Cardiac therapy
salicylic acid,D01AE12,Antifungals for dermatological use
antacids containing calcium compounds,A02AC,Drugs for acid related disorders
"orciprenaline, combinations",R03CB53,Drugs for obstructive airway diseases
binimetinib,L01XE41,Antineoplastic agents
isoetarine,R03AC07,Drugs for obstructive airway diseases
diphenoxylate,A07DA01,Antidiarrheals
sulfamethizole,J01EB02,Antibacterials for systemic use
IMMUNOSUPPRESSANTS,L04A,Immunosuppressants
saquinavir,J05AE01,Antivirals for systemic use
morinamide,J04AK04,Antimycobacterials
bentazepam,N05BA24,Psycholeptics
diphenylpyraline,R06AA07,Antihistamines for systemic use
ingenol mebutate,D06BX02,Antibiotics and chemotherapeutics for dermatological use
chloramphenicol,J01BA01,Antibacterials for systemic use
unoprostone,S01EE02,Ophthalmologicals
"ANTIADRENERGIC AGENTS, PERIPHERALLY ACTING",C02C,Antihypertensives
suramin sodium,P01CX02,Antiprotozoals
ornipressin,H01BA05,Pituitary and hypothalamic hormones and analogues
"Antacids, other combinations in ATC",A02AX,Drugs for acid related disorders
omacetaxine mepesuccinate,L01XX40,Antineoplastic agents
furosemide and potassium-sparing agents,C03EB01,Diuretics
iobenguane (131I),V09IX02,Diagnostic radiopharmaceuticals
trimetrexate,P01AX07,Antiprotozoals
lindane,P03AB02,Ectoparasiticides
"prednisolone, combinations",A01AC54,Stomatological preparations
fluocinolone acetonide and antibiotics,D07CC02,Corticosteroids
"propatylnitrate, combinations",C01DA57,Cardiac therapy
aceclofenac,M02AA25,Topical products for joint and muscular pain
Local hemostatic combinations,B02BC30,Antihemorrhagics
thioacetazone,J04AK07,Antimycobacterials
guaiazulen,S01XA01,Ophthalmologicals
rosoxacin,J01MB01,Antibacterials for systemic use
pipemidic acid,J01MB04,Antibacterials for systemic use
neomycin,S01AA03,Ophthalmologicals
telbivudine,J05AF11,Antivirals for systemic use
Various therapeutic radiopharmaceuticals,V10XX,Therapeutic radiopharmaceuticals
fluocinonide and antibiotics,D07CC05,Corticosteroids
SURGICAL DRESSINGS,V20,Surgical dressings
dimethyl sulfoxide,M02AX03,Topical products for joint and muscular pain
adrafinil,N06BX17,Psychoanaleptics
desonide and antiseptics,D07BB02,Corticosteroids
colistin,A07AA10,Antidiarrheals
Other antineoplastic agents in ATC,L01XX,Antineoplastic agents
"Natural and semisynthetic estrogens, plain",G03CA,Sex hormones and modulators of the genital system
erythrocytes,B05AX01,Blood substitutes and perfusion solutions
apomorphine,N04BC07,Anti-parkinson drugs
"chondrocytes, autologous",M09AX02,Other drugs for disorders of the musculo-skeletal system
pentostatin,L01XX08,Antineoplastic agents
pertuzumab,L01XC13,Antineoplastic agents
sofosbuvir,J05AP08,Antivirals for systemic use
"BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS",A10B,Drugs used in diabetes
mecamylamine,C02BB01,Antihypertensives
OTHER NERVOUS SYSTEM DRUGS in ATC,N07,Other nervous system drugs
Other anxiolytics in ATC,N05BX,Psycholeptics
Aldose reductase inhibitors used in diabetes,A10XA,Drugs used in diabetes
nebivolol and thiazides,C07BB12,Beta blocking agents
dinutuximab beta,L01XC16,Antineoplastic agents
trimethadione,N03AC02,Antiepileptics
sodium phosphate,B05XA09,Blood substitutes and perfusion solutions
OTHER HEMATOLOGICAL AGENTS in ATC,B06A,Other hematological agents
"Insulins and analogues for injection, intermediate-acting",A10AC,Drugs used in diabetes
drotrecogin alfa (activated),B01AD10,Antithrombotic agents
"atorvastatin, acetylsalicylic acid and perindopril",C10BX12,Lipid modifying agents
clomocycline,J01AA11,Antibacterials for systemic use
"Beta blocking agents, selective, and other diuretics",C07CB,Beta blocking agents
"fumaric acid derivatives, combinations",D05BX51,Antipsoriatics
calcium dobesilate,C05BX01,Vasoprotectives
mequinol,D11AX06,Other dermatological preparations
THERAPEUTIC RADIOPHARMACEUTICALS,V10,Therapeutic radiopharmaceuticals
Antivirals for treatment of HCV infections,J05AP,Antivirals for systemic use
Biguanides and amidines as antiseptics and disinfectants,D08AC,Antiseptics and disinfectants
"MUSCLE RELAXANTS, DIRECTLY ACTING AGENTS",M03C,Muscle relaxants
aripiprazole,N05AX12,Psycholeptics
bemiparin,B01AB12,Antithrombotic agents
imipramine,N06AA02,Psychoanaleptics
terguride,G02CB06,Other gynecologicals
valsartan and nebivolol,C09DX05,Agents acting on the renin–angiotensin system
posaconazole,J02AC04,Antimycotics for systemic use
nadolol,C07AA12,Beta blocking agents
dihydroergocristine,C04AE04,Peripheral vasodilators
iotrolan,V08AB06,Contrast media
"DIAGNOSTIC AGENTS, OPHTHAMOLOGIC",S01J,Ophthalmologicals
deanol,N06BX04,Psychoanaleptics
Selenium supplements,A12CE,Mineral supplements
propantheline and psycholeptics,A03CA34,Drugs for functional gastrointestinal disorders
dihydrotachysterol,A11CC02,Vitamins
tolperisone,M02AX06,Topical products for joint and muscular pain
tymazoline,R01AA13,Nasal preparations
Ergot alkaloid oxytocics,G02AB,Other gynecologicals
ibandronic acid and colecalciferol,M05BB09,Drugs for treatment of bone diseases
rimexolone,S01BA13,Ophthalmologicals
"Angiotensin II receptor blockers (ARBs), other combinations",C09DX,Agents acting on the renin–angiotensin system
aminobenzoic acid,D02BA01,Emollients and protectives
cannabidiol,N03AX24,Antiepileptics
hydroxocobalamin,B03BA03,Antianemic preparations
isoaminile,R05DB04,Cough and cold preparations
"Diphenylbutylpiperidine derivatives, antipsychotics",N05AG,Psycholeptics
tyloxapol,R05CA01,Cough and cold preparations
Aminosalicylic acid and derivatives,J04AA,Antimycobacterials
"dasabuvir, ombitasvir, paritaprevir and ritonavir",J05AP52,Antivirals for systemic use
chlorquinaldol,G01AC03,Gynecological antiinfectives and antiseptics
streptomycin,J01GA01,Antibacterials for systemic use
"hemophilus influenzae B, combinations with meningococcus C, conjugated",J07AG53,Vaccines
sofosbuvir and velpatasvir,J05AP55,Antivirals for systemic use
becaplermin,D03AX06,Preparations for treatment of wounds and ulcers
ipecacuanha,R05CA04,Cough and cold preparations
Specific immunoglobulins,J06BB,Immune sera and immunoglobulins
insulin (beef),A10AD02,Drugs used in diabetes
"lamivudine, tenofovir disoproxil and efavirenz",J05AR11,Antivirals for systemic use
doxycycline,A01AB22,Stomatological preparations
"ergoloid mesylates, combinations",C04AE51,Peripheral vasodilators
"Phosphonic acid derivatives, direct acting antivirals",J05AD,Antivirals for systemic use
"Benzimidazole derivatives, antinematodal",P02CA,Anthelmintics
"oxedrine, combinations",S01GA56,Ophthalmologicals
ANTIGLAUCOMA PREPARATIONS AND MIOTICS,S01E,Ophthalmologicals
oxolamine,R05DB07,Cough and cold preparations
fulvestrant,L02BA03,Endocrine therapy
nitric oxide,R07AX01,Other respiratory system products
metabutethamine,N01BA01,Anesthetics
"Antiandrogens, plain",G03HA,Sex hormones and modulators of the genital system
tiotropium bromide,R03BB04,Drugs for obstructive airway diseases
Hydrazides for tuberculosis treatment,J04AC,Antimycobacterials
irbesartan and amlodipine,C09DB05,Agents acting on the renin–angiotensin system
magnesium oxide,A02AA02,Drugs for acid related disorders
methiosulfonium chloride,A02BX04,Drugs for acid related disorders
iodocholesterol (131I),V09XA02,Diagnostic radiopharmaceuticals
dimethyl sulfoxide,G04BX13,Urologicals
eprosartan,C09CA02,Agents acting on the renin–angiotensin system
"aceclidine, combinations",S01EB58,Ophthalmologicals
benazepril,C09AA07,Agents acting on the renin–angiotensin system
tasosartan,C09CA05,Agents acting on the renin–angiotensin system
technetium (99mTc) succimer,V09CA02,Diagnostic radiopharmaceuticals
nitrous oxide,N01AX13,Anesthetics
valsartan and lercanidipine,C09DB08,Agents acting on the renin–angiotensin system
magnesium silicate,A02AA05,Drugs for acid related disorders
trioxysalen,D05BA01,Antipsoriatics
merbromin,D08AK04,Antiseptics and disinfectants
mebutizide,C03AA13,Diuretics
sulbenicillin,J01CA16,Antibacterials for systemic use
pirbuterol,R03CC07,Drugs for obstructive airway diseases
hydromorphone,N02AA03,Analgesics
gefarnate,A02BX07,Drugs for acid related disorders
urapidil,C02CA06,Antihypertensives
aspoxicillin,J01CA19,Antibacterials for systemic use
cocaine,N01BC01,Anesthetics
serum gonadotrophin,G03GA03,Sex hormones and modulators of the genital system
"octenidine, combinations",D08AJ57,Antiseptics and disinfectants
halothane,N01AB01,Anesthetics
"Morphinan derivatives, opiod analgesics",N02AF,Analgesics
"IV solutions used in parenteral administration of fluids, electrolytes and nutrients",B05B,Blood substitutes and perfusion solutions
Other plain vitamin preparations in ATC,A11HA,Vitamins
"clomethiazole, combinations",N05CX04,Psycholeptics
conestat alfa,B06AC04,Other hematological agents
prasugrel,B01AC22,Antithrombotic agents
halometasone,D07AC12,Corticosteroids
"Tetrahydropyrimidine derivatives, antinematodal",P02CC,Anthelmintics
"carbenoxolone, combinations excl. psycholeptics",A02BX51,Drugs for acid related disorders
papaverine,G04BE02,Urologicals
levonorgestrel,G03AD01,Sex hormones and modulators of the genital system
"Technetium 99m compounds, tumor detection radiopharmaceuticals",V09IA,Diagnostic radiopharmaceuticals
aliskiren and hydrochlorothiazide,C09XA52,Agents acting on the renin–angiotensin system
adefovir dipivoxil,J05AF08,Antivirals for systemic use
levodopa,N04BA01,Anti-parkinson drugs
"Substituted alkylamines, systemic antihistamines",R06AB,Antihistamines for systemic use
"rifampicin, ethambutol and isoniazid",J04AM07,Antimycobacterials
aldosterone,H02AA01,Corticosteroids for systemic use
"proguanil, combinations",P01BB51,Antiprotozoals
CAPILLARY STABILIZING AGENTS,C05C,Vasoprotectives
sulfaguanidine,A07AB03,Antidiarrheals
"aminophenazone, combinations excl. psycholeptics",N02BB53,Analgesics
aminoacridine,D08AA02,Antiseptics and disinfectants
Other drugs for bile therapy in ATC,A05AX,Bile and liver therapy
clobenzorex,A08AA08,Antiobesity preparations
feprazone,M02AA16,Topical products for joint and muscular pain
prednisolone and antiinfectives,S02CA01,Otologicals
afatinib,L01XE13,Antineoplastic agents
"Antibiotics, Gynecological",G01AA,Gynecological antiinfectives and antiseptics
beclometasone,D07AC15,Corticosteroids
proxyphylline,R03DA03,Drugs for obstructive airway diseases
chlorhexidine,S03AA04,Ophthalmological and otological preparations
Other non-selective calcium channel blockers in ATC,C08EX,Calcium channel blockers
aceclidine,S01EB08,Ophthalmologicals
ANTI-ACNE PREPARATIONS FOR TOPICAL USE,D10A,Anti-acne preparations
Experimental Model of Disease,T050,NA
Animal,T008,NA
Antifibrinolytic amino acids,B02AA,Antihemorrhagics
"emtricitabine, tenofovir disoproxil and rilpivirine",J05AR08,Antivirals for systemic use
magnesium aspartate,A12CC05,Mineral supplements
sodium perborate,A01AB19,Stomatological preparations
efloxate,C01DX13,Cardiac therapy
vindesine,L01CA03,Antineoplastic agents
"Vitamin A, plain",A11CA,Vitamins
ispaghula (psylla seeds),A06AC01,Drugs for constipation
ciprofloxacin,S03AA07,Ophthalmological and otological preparations
Corticosteroid ophthalmologic and otologic preparations,S03B,Ophthalmological and otological preparations
Other irrigating solution combinations in ATC,B05CX10,Blood substitutes and perfusion solutions
bendroflumethiazide,C03AA01,Diuretics
rocuronium bromide,M03AC09,Muscle relaxants
technetium (99mTc) microspheres,V09EB02,Diagnostic radiopharmaceuticals
fenoterol,R03CC04,Drugs for obstructive airway diseases
gestodene and ethinylestradiol,G03AA10,Sex hormones and modulators of the genital system
diastase,A09AA01,Digestives
"ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS, NON-STEROIDS",M01A,Anti-inflammatory and antirheumatic products
alipogene tiparvovec,C10AX10,Lipid modifying agents
Synthetic anticholinergic agents in combination with analgesics,A03DA,Drugs for functional gastrointestinal disorders
mepartricin,D01AA06,Antifungals for dermatological use
"Insulins and analogues for injection, long-acting",A10AE,Drugs used in diabetes
crizotinib,L01XE16,Antineoplastic agents
DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,A03,Drugs for functional gastrointestinal disorders
monoethanolamine oleate,C05BB01,Vasoprotectives
sunitinib,L01XE04,Antineoplastic agents
gedocarnil,N05BX02,Psycholeptics
parathyroid gland extract,H05AA01,Calcium homeostasis
insulin (beef),A10AC02,Drugs used in diabetes
octenidine,R02AA21,Throat preparations
ropeginterferon alfa-2b,L03AB15,Immunostimulants
efinaconazole,D01AC19,Antifungals for dermatological use
POSTERIOR PITUITARY LOBE HORMONES,H01B,Pituitary and hypothalamic hormones and analogues
mifepristone,G03XB01,Sex hormones and modulators of the genital system
