Drug,CHEMBL,ATC
Occupation or Discipline,CHEMBL3645269,T090
flupirtine,CHEMBL255044,N02BG07
bamethan,CHEMBL2106636,C04AA31
sultopride,CHEMBL277945,N05AL02
ANTIBACTERIALS FOR SYSTEMIC USE,CHEMBL496957,J01
ceftezole,CHEMBL1697829,J01DB12
lisinopril and amlodipine,CHEMBL419213,C09BB03
sirolimus,CHEMBL413,L04AA10
hydrocortisone,CHEMBL389621,D07AA02
hydroxyethylpromethazine,CHEMBL3707371,R06AD05
cobicistat,CHEMBL2095208,V03AX03
aceneuramic acid,CHEMBL2105945,M09AX05
ferrous amino acid complex,CHEMBL1200640,B03AD01
amikacin,CHEMBL4208954,D06AX12
chlorphenamine,CHEMBL505,R06AB04
Hormone,CHEMBL2108078,T125
rescinnamine,CHEMBL1668,C02AA01
"Corticosteroids, moderately potent, combinations with antiseptics",CHEMBL1200877,D07BB
celecoxib,CHEMBL118,L01XX33
atorvastatin and perindopril,CHEMBL1581,C10BX15
ANTIPROPULSIVES,CHEMBL1201321,A07D
Other gynecologicals in ATC,CHEMBL3527138,G02CX
Ginkgo folium,CHEMBL2108466,N06DX02
meticrane,CHEMBL1318341,C03BA09
naratriptan,CHEMBL1200601,N02CC02
Other drugs for disorders of the musculo-skeletal system in ATC,CHEMBL2105945,M09AX
Chlorine containing product ectoparasiticides,CHEMBL416898,P03AB
laquinimod,CHEMBL66092,N07XX10
theodrenaline,CHEMBL2107608,C01CA23
oxiracetam,CHEMBL36633,N06BX07
opipramol,CHEMBL1524185,N06AA05
DRUGS FOR ACID RELATED DISORDERS,CHEMBL496957,A02
metoprolol and felodipine,CHEMBL2356097,C07FB02
iobenguane (131I),CHEMBL3833304,V10XA02
trastuzumab,CHEMBL1201585,L01XC03
Vitamin K antagonists,CHEMBL1201519,B01AA
tocilizumab,CHEMBL1237022,L04AC07
zidovudine,CHEMBL3422520,J05AF01
colecalciferol,CHEMBL1042,A11CC05
alcaftadine,CHEMBL1201747,S01GX11
clenbuterol,CHEMBL1330729,R03AC14
Non-selective monoamine reuptake inhibitors,CHEMBL1614644,N06AA
Other hepatic and reticulo endothelial system diagnostic radiopharmaceuticals in ATC,CHEMBL2107894,V09DX
zorubicin,CHEMBL1697854,L01DB05
epacadostat,CHEMBL3545369,L01XX58
tiaprofenic acid,CHEMBL365795,M01AE11
raloxifene,CHEMBL81,G03XC01
"brompheniramine, combinations",CHEMBL1200961,R06AB51
levonorgestrel,CHEMBL1389,G03AC03
alvimopan,CHEMBL270190,A06AH02
darunavir and cobicistat,CHEMBL2095208,J05AR14
"Fenamates, antiinflammatory and antirheumatic drugs",CHEMBL23588,M01AG
ANTERIOR PITUITARY LOBE HORMONES AND ANALOGUES,CHEMBL1201610,H01A
Specific immunoglobulin combinations,CHEMBL2108981,J06BB30
cocaine,CHEMBL120901,S01HA01
methylscopolamine,CHEMBL3091667,S01FA03
rifampicin,CHEMBL374478,J04AB02
ormeloxifene,CHEMBL154126,G03XC04
"calcium dobesilate, combinations",CHEMBL2106191,C05BX51
ephedrine,CHEMBL1523964,R01AA03
ferrous ascorbate,CHEMBL3707305,B03AA10
insulin aspart,CHEMBL1201496,A10AD05
pilocarpine,CHEMBL1213136,S01EB01
chlorphenoxamine,CHEMBL2105980,D04AA34
"Calcium, combinations with vitamin D and/or other drugs",CHEMBL3508697,A12AX
bepridil,CHEMBL1200382,C08EA02
hydrocortisone,CHEMBL389621,C05AA01
tilactase,CHEMBL2108793,A09AA04
sodium tetradecyl sulfate,CHEMBL1200354,C05BB04
cyclothiazide and potassium,CHEMBL3989462,C03AB09
degarelix,CHEMBL415606,L02BX02
fondaparinux,CHEMBL1276258,B01AX05
oxyfedrine,CHEMBL1651913,C01DX03
tiopronin,CHEMBL1314,G04BX16
prednisolone,CHEMBL131,C05AA04
Drugs for treatment of hypercalcemia,CHEMBL496957,V03AG
"CORTICOSTEROIDS FOR SYSTEMIC USE, PLAIN",CHEMBL496957,H02A
ceftobiprole medocaril,CHEMBL4297101,J01DI01
"Angiotensin II receptor blockers (ARBs), plain",CHEMBL191,C09CA
helium,CHEMBL1796997,V03AN03
phloroglucinol,CHEMBL473159,A03AX12
olmesartan medoxomil,CHEMBL1200692,C09CA08
acetohydroxamic acid,CHEMBL734,G04BX03
prednisone,CHEMBL635,A07EA03
antacids containing magnesium compounds,CHEMBL1200572,A02AA
cevimeline,CHEMBL168815,N07AX03
sodium feredetate,CHEMBL1705709,B03AB03
rimonabant,CHEMBL111,A08AX01
PROGESTOGEN SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,CHEMBL1276308,G03D
bevonium,CHEMBL1882461,A03AB13
sitagliptin,CHEMBL1201174,A10BH01
povidone-iodine,CHEMBL1201724,S01AX18
copper sulfate,CHEMBL604,V03AB20
electrolytes,CHEMBL1200559,B05BB01
"ispaghula, combinations",CHEMBL91,A06AC51
"coagulation factor IX, II, VII and X in combination",CHEMBL4297986,B02BD01
technetium (99mTc) gluconate,CHEMBL1201524,V09CA05
gestonorone,CHEMBL2107389,L02AB03
gatifloxacin,CHEMBL31,J01MA16
indocyanine green,CHEMBL1201304,V04CX01
colestyramine,CHEMBL2104535,C10AC01
vilanterol and fluticasone furoate,CHEMBL1676,R03AK10
enflurane,CHEMBL1257,N01AB04
"ADRENERGICS, INHALANTS",CHEMBL88055,R03A
Gene or Genome,CHEMBL4298008,T028
ketamine,CHEMBL742,N01AX03
cefradine,CHEMBL1604,J01DB09
Family Group,CHEMBL2108795,T099
"Organophosphorous compounds, antitrematodals",CHEMBL167150,P02BB
"DIGESTIVES, INCL. ENZYMES",CHEMBL1201482,A09A
lanreotide,CHEMBL1201184,H01CB03
budesonide,CHEMBL1370,A07EA06
Embryonic Structure,CHEMBL3695484,T018
"Barbiturates, combinations",CHEMBL574699,N05CB
triamcinolone and antiinfectives,CHEMBL1200449,S02CA04
"meningococcus B, multicomponent vaccine",CHEMBL2109163,J07AH09
"measles, live attenuated",CHEMBL2109211,J07BD01
lomefloxacin,CHEMBL2106827,S01AE04
"nitrous oxide, combinations",CHEMBL1234579,N01AX63
proquazone,CHEMBL268501,M01AX13
"Carbamide products, emollients and protectives",CHEMBL985,D02AE
clofezone,CHEMBL3833391,M02AA03
hydromorphone and naloxone,CHEMBL3249799,N02AA53
Opioid anesthetics,CHEMBL440626,N01AH
metandienone,CHEMBL1418176,A14AA03
sinecatechins,CHEMBL1201723,D06BB12
thiotepa,CHEMBL671,L01AC01
cangrelor,CHEMBL334966,B01AC25
dapivirine,CHEMBL70663,G01AX17
TONICS,CHEMBL1214124,A13
fructose,CHEMBL2325229,V06DC02
aminobutyric acid,CHEMBL96,N03AG03
Benzodiazepine derivative anxiolytics,CHEMBL580,N05BA
cefoperazone,CHEMBL1200482,J01DD12
technetium (99mTc) exametazime labelled cells,CHEMBL2107074,V09HA02
tenitramine,CHEMBL3707257,C01DA38
"allopurinol, combinations",CHEMBL1467,M04AA51
"acetylsalicylic acid, combinations with psycholeptics",CHEMBL2429949,N02BA71
Long-acting sulfonamides,CHEMBL1200359,J01ED
prednicarbate,CHEMBL1200386,D07AC18
"Antracen derivatives, topical antipsoriatics",CHEMBL46469,D05AC
azelaic acid,CHEMBL1238,D10AX03
ANTIMYCOBACTERIALS,CHEMBL154166,J04
"LIVER THERAPY, LIPOTROPICS",CHEMBL2104514,A05B
indometacin,CHEMBL6,M01AB01
fluocortolone,CHEMBL2107415,D07AC05
oxycodone and naltrexone,CHEMBL656,N02AA56
etofenamate,CHEMBL1451633,M02AA06
moxifloxacin,CHEMBL1200735,S01AE07
entacapone,CHEMBL953,N04BX02
trichlormethiazide and potassium,CHEMBL3989462,C03AB06
glutamine,CHEMBL930,A16AA03
"Hydantoin derivatives, antiepileptics",CHEMBL16,N03AB
ipratropium bromide,CHEMBL2134724,R01AX03
medroxyprogesterone and estrogen,CHEMBL1390,G03FB06
spironolactone,CHEMBL1393,C03DA01
Benzodiazepine derivative hypnotics and sedatives,CHEMBL413643,N05CD
Vitamin A and D in combination,CHEMBL1200642,A11CB
hydroxycarbamide,CHEMBL467,L01XX05
phenacemide,CHEMBL918,N03AX07
metildigoxin,CHEMBL1697843,C01AA08
bosentan,CHEMBL957,C02KX01
metformin and evogliptin,CHEMBL1431,A10BD22
prasterone and estrogen,CHEMBL4303179,G03EA03
chloramphenicol,CHEMBL130,S02AA01
VIRAL VACCINES,CHEMBL2109201,J07B
Carbamate anxiolytics,CHEMBL979,N05BC
bisacodyl,CHEMBL942,A06AG02
phenindione,CHEMBL711,B01AA02
Hydrazinophthalazine derivatives and diuretics,CHEMBL9022,C02LG
"acetyldigoxin, combinations",CHEMBL2074725,C01AA52
eritrityl tetranitrate,CHEMBL2107583,C01DA13
omoconazole,CHEMBL2046550,G01AF16
ALL OTHER THERAPEUTIC PRODUCTS,CHEMBL415284,V03A
midazolam,CHEMBL655,N05CD08
demoxytocin,CHEMBL435716,H01BB01
povidone-iodine,CHEMBL1201724,D11AC06
polihexanide,CHEMBL2106939,D08AC05
daclizumab,CHEMBL1201605,L04AC01
oxyquinoline,CHEMBL1697698,G01AC30
sertaconazole,CHEMBL1201196,G01AF19
toloxatone,CHEMBL18116,N06AG03
mandelic acid,CHEMBL1609,B05CA06
riboflavin,CHEMBL1534,S01XA26
tretinoin,CHEMBL38,D10AD01
calcium levofolinate,CHEMBL1908361,V03AF04
"zoster, purified antigen",CHEMBL2108828,J07BK03
ibuprofen,CHEMBL521,C01EB16
"clemastine, combinations",CHEMBL1200795,R06AA54
"alendronic acid and alfacalcidol, sequential",CHEMBL2362510,M05BB06
"Phenylalkylamine derivatives, selective calcium channel blockers with direct cardiac effects",CHEMBL6966,C08DA
lorcaserin,CHEMBL2095211,A08AA11
Actinomycines,CHEMBL505310,L01DA
cabergoline,CHEMBL1201087,G02CB03
isosorbide dinitrate,CHEMBL6622,C05AE02
tioxolone,CHEMBL442687,D10AB03
sulconazole,CHEMBL1200348,D01AC09
moxaverine,CHEMBL2105060,A03AD30
oxaflozane,CHEMBL2106996,N06AX10
"HMG CoA reductase inhibitors, other combinations",CHEMBL1064,C10BX
Ultrasound contrast media,CHEMBL1796998,V08DA
probenecid,CHEMBL897,M04AB01
acamprosate,CHEMBL1201293,N07BB03
venetoclax,CHEMBL3137309,L01XX52
chlorquinaldol,CHEMBL224325,R02AA11
"hydroxyethylpromethazine, combinations",CHEMBL3707371,R06AD55
safinamide,CHEMBL396778,N04BD03
gestodene and ethinylestradiol,CHEMBL1213583,G03AB06
raxibacumab,CHEMBL2108638,J06BB18
"Watersoluble, nephrotropic, low osmolar X-ray contrast media",CHEMBL1200507,V08AB
dolutegravir,CHEMBL4303416,J05AX12
clofarabine,CHEMBL1750,L01BB06
propranolol,CHEMBL1671,C07AA05
fenoterol,CHEMBL32800,R03AC04
ivacaftor and tezacaftor,CHEMBL2010601,R07AX31
rabies immunoglobulin,CHEMBL1201600,J06BB05
"phenylephrine, combinations",CHEMBL1200339,R01BA53
neomycin,CHEMBL3989751,B05CA09
methylergometrine and oxytocin,CHEMBL1201356,G02AC01
brinase,CHEMBL2108416,B01AD06
atorvastatin and acetylsalicylic acid,CHEMBL1487,C10BX08
Multivitamins with minerals,CHEMBL2108504,A11AA
Belladonna and derivatives in combination with psycholeptics,CHEMBL2108906,A03CB
"chlorhexidine, combinations",CHEMBL1628,D08AC52
tolfenamic acid,CHEMBL121626,M01AG02
ranitidine bismuth citrate,CHEMBL2111286,A02BA07
resorcinol,CHEMBL24147,S01AX06
clemastine,CHEMBL1200795,R06AA04
"Beta blocking agents, non-selective",CHEMBL546,C07AA
"phenprobamate, combinations excl. psycholeptics",CHEMBL1079576,M03BA51
"cimetidine, combinations",CHEMBL1201051,A02BA51
pizotifen,CHEMBL1592663,N02CX01
"mifepristone, combinations",CHEMBL1276308,G03XB51
sonidegib,CHEMBL3137317,L01XX48
phenylephrine and ketorolac,CHEMBL1201124,S01FB51
loxapine,CHEMBL1201155,N05AH01
"montelukast, combinations",CHEMBL1200681,R03DC53
Indium-111 tumour detection radiopharmaceuticals,CHEMBL1200642,V09IB
velaglucerase alfa,CHEMBL1201865,A16AB10
"bismuth subcitrate, tetracycline and metronidazole",CHEMBL1201186,A02BD08
penciclovir,CHEMBL1540,J05AB13
hexobarbital,CHEMBL7728,N01AF02
chlorhexidine,CHEMBL1628,S01AX09
"Corticosteroids, weak, combinations with antiseptics",CHEMBL514315,D07BA
Bile acids and derivatives for bile therapy,CHEMBL2108692,A05AA
asfotase alfa,CHEMBL2108311,A16AB13
norepinephrine,CHEMBL432,C01CA03
digoxin,CHEMBL1751,C01AA05
salicylic acid,CHEMBL424,D01AE12
antacids containing calcium compounds,CHEMBL1744447,A02AC
"orciprenaline, combinations",CHEMBL776,R03CB53
binimetinib,CHEMBL3187723,L01XE41
isoetarine,CHEMBL1201213,R03AC07
diphenoxylate,CHEMBL1201294,A07DA01
sulfamethizole,CHEMBL1191,J01EB02
IMMUNOSUPPRESSANTS,CHEMBL1542,L04A
saquinavir,CHEMBL296480,J05AE01
morinamide,CHEMBL1697759,J04AK04
bentazepam,CHEMBL1521495,N05BA24
diphenylpyraline,CHEMBL1564,R06AA07
ingenol mebutate,CHEMBL1863513,D06BX02
chloramphenicol,CHEMBL130,J01BA01
unoprostone,CHEMBL1201407,S01EE02
"ANTIADRENERGIC AGENTS, PERIPHERALLY ACTING",CHEMBL2008565,C02C
suramin sodium,CHEMBL3040216,P01CX02
ornipressin,CHEMBL1819440,H01BA05
"Antacids, other combinations in ATC",CHEMBL3527138,A02AX
omacetaxine mepesuccinate,CHEMBL46286,L01XX40
furosemide and potassium-sparing agents,CHEMBL3989462,C03EB01
iobenguane (131I),CHEMBL3833304,V09IX02
trimetrexate,CHEMBL2218878,P01AX07
lindane,CHEMBL15891,P03AB02
"prednisolone, combinations",CHEMBL2105774,A01AC54
fluocinolone acetonide and antibiotics,CHEMBL989,D07CC02
"propatylnitrate, combinations",CHEMBL488280,C01DA57
aceclofenac,CHEMBL93645,M02AA25
Local hemostatic combinations,CHEMBL2108110,B02BC30
thioacetazone,CHEMBL375492,J04AK07
guaiazulen,CHEMBL1408759,S01XA01
rosoxacin,CHEMBL291157,J01MB01
pipemidic acid,CHEMBL30116,J01MB04
neomycin,CHEMBL3989751,S01AA03
telbivudine,CHEMBL374731,J05AF11
Various therapeutic radiopharmaceuticals,CHEMBL3833304,V10XX
fluocinonide and antibiotics,CHEMBL3039305,D07CC05
SURGICAL DRESSINGS,CHEMBL2108092,V20
dimethyl sulfoxide,CHEMBL504,M02AX03
adrafinil,CHEMBL93077,N06BX17
desonide and antiseptics,CHEMBL1201109,D07BB02
colistin,CHEMBL2221249,A07AA10
Other antineoplastic agents in ATC,CHEMBL3527138,L01XX
"Natural and semisynthetic estrogens, plain",CHEMBL1201468,G03CA
apomorphine,CHEMBL1616,N04BC07
pentostatin,CHEMBL1580,L01XX08
pertuzumab,CHEMBL2007641,L01XC13
sofosbuvir,CHEMBL1259059,J05AP08
"BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS",CHEMBL471498,A10B
mecamylamine,CHEMBL1237082,C02BB01
OTHER NERVOUS SYSTEM DRUGS in ATC,CHEMBL3527138,N07
Other anxiolytics in ATC,CHEMBL3527138,N05BX
Aldose reductase inhibitors used in diabetes,CHEMBL436,A10XA
nebivolol and thiazides,CHEMBL1201731,C07BB12
dinutuximab beta,CHEMBL3137342,L01XC16
trimethadione,CHEMBL695,N03AC02
sodium phosphate,CHEMBL1060,B05XA09
OTHER HEMATOLOGICAL AGENTS in ATC,CHEMBL3527138,B06A
"Insulins and analogues for injection, intermediate-acting",CHEMBL1098659,A10AC
drotrecogin alfa (activated),CHEMBL2109065,B01AD10
"atorvastatin, acetylsalicylic acid and perindopril",CHEMBL1581,C10BX12
clomocycline,CHEMBL2106071,J01AA11
"Beta blocking agents, selective, and other diuretics",CHEMBL6995,C07CB
"fumaric acid derivatives, combinations",CHEMBL503160,D05BX51
calcium dobesilate,CHEMBL2106191,C05BX01
mequinol,CHEMBL544,D11AX06
THERAPEUTIC RADIOPHARMACEUTICALS,CHEMBL3833304,V10
Antivirals for treatment of HCV infections,CHEMBL501849,J05AP
Biguanides and amidines as antiseptics and disinfectants,CHEMBL2447928,D08AC
"MUSCLE RELAXANTS, DIRECTLY ACTING AGENTS",CHEMBL1201288,M03C
aripiprazole,CHEMBL2219425,N05AX12
bemiparin,CHEMBL3707365,B01AB12
imipramine,CHEMBL11,N06AA02
terguride,CHEMBL1480516,G02CB06
valsartan and nebivolol,CHEMBL1201731,C09DX05
posaconazole,CHEMBL1397,J02AC04
nadolol,CHEMBL649,C07AA12
dihydroergocristine,CHEMBL1255837,C04AE04
iotrolan,CHEMBL1200555,V08AB06
"DIAGNOSTIC AGENTS, OPHTHAMOLOGIC",CHEMBL1615807,S01J
deanol,CHEMBL3833347,N06BX04
Selenium supplements,CHEMBL1200680,A12CE
propantheline and psycholeptics,CHEMBL1180725,A03CA34
dihydrotachysterol,CHEMBL2356023,A11CC02
tolperisone,CHEMBL1076211,M02AX06
tymazoline,CHEMBL2106467,R01AA13
Ergot alkaloid oxytocics,CHEMBL426257,G02AB
ibandronic acid and colecalciferol,CHEMBL997,M05BB09
rimexolone,CHEMBL1200617,S01BA13
"Angiotensin II receptor blockers (ARBs), other combinations",CHEMBL191,C09DX
aminobenzoic acid,CHEMBL542,D02BA01
cannabidiol,CHEMBL3402653,N03AX24
hydroxocobalamin,CHEMBL2103737,B03BA03
isoaminile,CHEMBL2105002,R05DB04
"Diphenylbutylpiperidine derivatives, antipsychotics",CHEMBL47050,N05AG
tyloxapol,CHEMBL1201548,R05CA01
Aminosalicylic acid and derivatives,CHEMBL1169,J04AA
"dasabuvir, ombitasvir, paritaprevir and ritonavir",CHEMBL3137312,J05AP52
chlorquinaldol,CHEMBL224325,G01AC03
streptomycin,CHEMBL1201194,J01GA01
"hemophilus influenzae B, combinations with meningococcus C, conjugated",CHEMBL1201467,J07AG53
sofosbuvir and velpatasvir,CHEMBL3545062,J05AP55
becaplermin,CHEMBL1201556,D03AX06
Specific immunoglobulins,CHEMBL3544926,J06BB
insulin (beef),CHEMBL1201629,A10AD02
"lamivudine, tenofovir disoproxil and efavirenz",CHEMBL1486,J05AR11
doxycycline,CHEMBL1256723,A01AB22
"ergoloid mesylates, combinations",CHEMBL2311030,C04AE51
"Phosphonic acid derivatives, direct acting antivirals",CHEMBL666,J05AD
"Benzimidazole derivatives, antinematodal",CHEMBL685,P02CA
"oxedrine, combinations",CHEMBL33720,S01GA56
ANTIGLAUCOMA PREPARATIONS AND MIOTICS,CHEMBL20835,S01E
oxolamine,CHEMBL1620875,R05DB07
fulvestrant,CHEMBL1358,L02BA03
nitric oxide,CHEMBL1200689,R07AX01
metabutethamine,CHEMBL2110959,N01BA01
"Antiandrogens, plain",CHEMBL139835,G03HA
tiotropium bromide,CHEMBL3545181,R03BB04
Hydrazides for tuberculosis treatment,CHEMBL496957,J04AC
irbesartan and amlodipine,CHEMBL1200984,C09DB05
magnesium oxide,CHEMBL1200572,A02AA02
methiosulfonium chloride,CHEMBL1797128,A02BX04
iodocholesterol (131I),CHEMBL2105011,V09XA02
dimethyl sulfoxide,CHEMBL504,G04BX13
eprosartan,CHEMBL1200987,C09CA02
"aceclidine, combinations",CHEMBL4303558,S01EB58
benazepril,CHEMBL838,C09AA07
tasosartan,CHEMBL432162,C09CA05
technetium (99mTc) succimer,CHEMBL1200797,V09CA02
nitrous oxide,CHEMBL1234579,N01AX13
valsartan and lercanidipine,CHEMBL2106419,C09DB08
magnesium silicate,CHEMBL2109133,A02AA05
trioxysalen,CHEMBL1475,D05BA01
merbromin,CHEMBL3833381,D08AK04
mebutizide,CHEMBL2105212,C03AA13
sulbenicillin,CHEMBL1256734,J01CA16
pirbuterol,CHEMBL1094966,R03CC07
hydromorphone,CHEMBL3989585,N02AA03
gefarnate,CHEMBL2105085,A02BX07
urapidil,CHEMBL1256716,C02CA06
aspoxicillin,CHEMBL1318150,J01CA19
cocaine,CHEMBL120901,N01BC01
serum gonadotrophin,CHEMBL2109149,G03GA03
"octenidine, combinations",CHEMBL1199480,D08AJ57
halothane,CHEMBL931,N01AB01
"Morphinan derivatives, opiod analgesics",CHEMBL33986,N02AF
"IV solutions used in parenteral administration of fluids, electrolytes and nutrients",CHEMBL295392,B05B
Other plain vitamin preparations in ATC,CHEMBL3527138,A11HA
"clomethiazole, combinations",CHEMBL315795,N05CX04
conestat alfa,CHEMBL2108350,B06AC04
prasugrel,CHEMBL1201772,B01AC22
halometasone,CHEMBL1587228,D07AC12
"Tetrahydropyrimidine derivatives, antinematodal",CHEMBL1240977,P02CC
"carbenoxolone, combinations excl. psycholeptics",CHEMBL1697717,A02BX51
papaverine,CHEMBL19224,G04BE02
levonorgestrel,CHEMBL1389,G03AD01
"Technetium 99m compounds, tumor detection radiopharmaceuticals",CHEMBL1200421,V09IA
aliskiren and hydrochlorothiazide,CHEMBL1639,C09XA52
adefovir dipivoxil,CHEMBL922,J05AF08
levodopa,CHEMBL1009,N04BA01
"Substituted alkylamines, systemic antihistamines",CHEMBL1742439,R06AB
"rifampicin, ethambutol and isoniazid",CHEMBL64,J04AM07
aldosterone,CHEMBL273453,H02AA01
"proguanil, combinations",CHEMBL1377,P01BB51
CAPILLARY STABILIZING AGENTS,CHEMBL2106794,C05C
sulfaguanidine,CHEMBL338802,A07AB03
"aminophenazone, combinations excl. psycholeptics",CHEMBL2104635,N02BB53
aminoacridine,CHEMBL1761834,D08AA02
Other drugs for bile therapy in ATC,CHEMBL1258080,A05AX
clobenzorex,CHEMBL1213251,A08AA08
feprazone,CHEMBL1452696,M02AA16
prednisolone and antiinfectives,CHEMBL2105774,S02CA01
afatinib,CHEMBL2105712,L01XE13
"Antibiotics, Gynecological",CHEMBL606111,G01AA
beclometasone,CHEMBL1586,D07AC15
proxyphylline,CHEMBL37390,R03DA03
chlorhexidine,CHEMBL1628,S03AA04
Other non-selective calcium channel blockers in ATC,CHEMBL92870,C08EX
aceclidine,CHEMBL4303558,S01EB08
ANTI-ACNE PREPARATIONS FOR TOPICAL USE,CHEMBL547,D10A
Experimental Model of Disease,CHEMBL412073,T050
Animal,CHEMBL1463345,T008
Antifibrinolytic amino acids,CHEMBL1201498,B02AA
"emtricitabine, tenofovir disoproxil and rilpivirine",CHEMBL1486,J05AR08
magnesium aspartate,CHEMBL2109228,A12CC05
sodium perborate,CHEMBL3707333,A01AB19
efloxate,CHEMBL1349073,C01DX13
vindesine,CHEMBL3989543,L01CA03
"Vitamin A, plain",CHEMBL986,A11CA
ispaghula (psylla seeds),CHEMBL2108130,A06AC01
ciprofloxacin,CHEMBL8,S03AA07
Corticosteroid ophthalmologic and otologic preparations,CHEMBL1628401,S03B
Other irrigating solution combinations in ATC,CHEMBL3527138,B05CX10
bendroflumethiazide,CHEMBL1684,C03AA01
rocuronium bromide,CHEMBL1200648,M03AC09
technetium (99mTc) microspheres,CHEMBL1201524,V09EB02
fenoterol,CHEMBL32800,R03CC04
gestodene and ethinylestradiol,CHEMBL1213583,G03AA10
diastase,CHEMBL2108452,A09AA01
"ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS, NON-STEROIDS",CHEMBL1908355,M01A
alipogene tiparvovec,CHEMBL2108304,C10AX10
Synthetic anticholinergic agents in combination with analgesics,CHEMBL1201488,A03DA
mepartricin,CHEMBL3989893,D01AA06
"Insulins and analogues for injection, long-acting",CHEMBL1098659,A10AE
crizotinib,CHEMBL601719,L01XE16
DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,CHEMBL49943,A03
monoethanolamine oleate,CHEMBL104943,C05BB01
sunitinib,CHEMBL597365,L01XE04
gedocarnil,CHEMBL2105080,N05BX02
parathyroid gland extract,CHEMBL2108078,H05AA01
insulin (beef),CHEMBL1201629,A10AC02
octenidine,CHEMBL1199480,R02AA21
ropeginterferon alfa-2b,CHEMBL4297819,L03AB15
efinaconazole,CHEMBL2103877,D01AC19
POSTERIOR PITUITARY LOBE HORMONES,CHEMBL2109160,H01B
mifepristone,CHEMBL1276308,G03XB01
"diclofenac, combinations",CHEMBL139,M01AB55
phenylephrine,CHEMBL1200339,S01FB01
acadesine,CHEMBL1551724,C01EB13
Adrenergic and dopaminergic agents combinations,CHEMBL524,C01CA30
sodium chloride,CHEMBL1200574,B05XA03
nifuratel,CHEMBL514315,G01AX05
phenylephrine,CHEMBL1200339,R01BA03
Laboratory Procedure,CHEMBL376700,T059
nitrofural,CHEMBL869,B05CA03
noscapine,CHEMBL2106732,R05DA07
"diosmin, combinations",CHEMBL231884,C05CA53
"potassium phosphate, incl. combinations with other potassium salts",CHEMBL1200925,B05XA06
"promethazine, combinations",CHEMBL1200750,R06AD52
"Immunoglobulins, normal human",CHEMBL1201631,J06BA
coagulation factor VIIa,CHEMBL4297869,B02BD08
rivaroxaban,CHEMBL198362,B01AF01
Hepatitis vaccine combinations,CHEMBL2109163,J07BC20
anistreplase,CHEMBL2108250,B01AD03
rosuvastatin and acetylsalicylic acid,CHEMBL1744447,C10BX05
samarium (153Sm) lexidronam,CHEMBL2096660,V10BX02
betaxolol,CHEMBL1691,S01ED02
pepsin and acid preparations,CHEMBL2108768,A09AC01
hemoglobin crosfumaril,CHEMBL2108962,B05AA08
drospirenone,CHEMBL1509,G03AC10
mumps immunoglobulin,CHEMBL2108981,J06BB15
sodium aminosalicylate,CHEMBL2096646,J04AA02
organic nitrates in combination with psycholeptics,CHEMBL1200452,C01DA70
levonorgestrel and ethinylestradiol,CHEMBL1389,G03AB03
tiabendazole,CHEMBL625,D01AC06
Other cardiac glycosides in ATC,CHEMBL3527138,C01AX
ANTIGOUT PREPARATIONS,CHEMBL897,M04A
retigabine,CHEMBL41355,N03AX21
clofibride,CHEMBL1697831,C10AB10
flurbiprofen,CHEMBL563,S01BC04
calcium silicate,CHEMBL2108942,A02AC02
oxprenolol,CHEMBL1200745,C07AA02
Functional Concept,CHEMBL49943,T169
auranofin,CHEMBL1366,M01CB03
flumetasone and antibiotics,CHEMBL1201392,D07CB05
altizide and potassium-sparing agents,CHEMBL3989462,C03EA04
aminoglutethimide,CHEMBL1256323,L02BG01
"omeprazole, amoxicillin and clarithromycin",CHEMBL2105950,A02BD05
ursodeoxycholic acid,CHEMBL1551,A05AA02
bunaftine,CHEMBL2104200,C01BD03
zinc compounds,CHEMBL3988900,S01AX03
carbasalate calcium combinations excl. psycholeptics,CHEMBL3833325,N02BA65
